@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N6-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
5.081837,229.304474,-9.190262,-211.327519,24.248711,228.370899,6
14.367535,168.788351,-12.306048,-149.753113,51.961524,167.939646,6
14.367535,168.788351,-12.306048,-149.753113,51.961524,167.939646,6
14.124701,235.91398,-9.015498,-218.117158,51.961524,235.021974,6
4.973411,194.703295,-9.71438,-173.291683,48.497423,193.695242,7
3.694118,171.621986,-9.19234,-154.221804,51.961524,170.918774,6
4.62319,130.785424,-9.02537,-107.05806,50.229473,130.059695,8
4.350392,296.965307,-11.099501,-275.690527,29.444864,295.990163,6
14.957125,230.681455,-9.534074,-213.042249,58.889727,229.739219,5
4.62319,130.785424,-9.02537,-107.05806,50.229473,130.059695,8
7.397935,177.39318,-9.368316,-157.010406,32.908965,176.721144,7
4.058195,253.575702,-10.231224,-234.796807,60.621778,252.723533,6
4.453795,229.543497,-11.100021,-207.690212,29.444864,228.613386,6
5.803409,198.134488,-10.754996,-174.919811,64.08588,196.847574,7
4.214772,82.068031,-12.655402,-63.046649,12.124356,81.302465,6
4.908459,203.316784,-9.01723,-186.178141,74.478185,202.355496,6
27.966039,310.459715,-8.320426,-291.729318,38.105118,309.742646,5
11.472065,258.562277,-9.537711,-240.148844,43.30127,257.867724,5
4.348487,239.669066,-10.408586,-219.139068,65.817931,239.092293,6
33.497689,258.849797,-10.912093,-242.556395,77.942286,258.127532,5
14.991593,277.697974,-10.400272,-259.357288,48.497423,276.781719,6
4.595824,267.290081,-9.884121,-249.311393,57.157677,266.216209,6
4.681907,289.88988,-11.097076,-271.01399,65.817931,288.871434,7
9.793015,357.361919,-9.017057,-338.927702,109.119201,356.352133,4
9.775522,359.081845,-9.01723,-340.659753,107.38715,358.066863,5
10.989862,260.529886,-10.22776,-242.002139,55.425626,259.582455,5
5.025892,300.289113,-10.753091,-278.617693,53.693575,299.419623,6
4.124706,215.394374,-9.71438,-194.717152,67.549981,214.272005,7
4.054904,187.745647,-9.36849,-167.575916,67.549981,187.061487,6
4.300682,229.907228,-10.058019,-212.210865,65.817931,228.994437,6
4.574,331.495472,-10.235035,-310.868479,50.229473,330.527256,6
22.925771,369.590197,-10.745297,-351.433109,64.08588,368.649694,6
23.654964,255.14494,-8.665104,-238.572678,86.60254,254.438264,6
9.947341,135.435981,-9.711436,-116.774865,43.30127,134.701591,6
4.421233,192.946996,-11.097942,-174.521439,76.210236,192.292281,6
10.626305,213.61729,-10.054382,-197.349869,51.961524,212.661198,6
23.654964,255.14494,-8.665104,-238.572678,86.60254,254.438264,6
3.742962,261.721537,-10.407893,-242.764241,29.444864,261.072018,5
9.947341,135.435981,-9.711436,-116.774865,43.30127,134.701591,6
4.611932,211.84367,-10.751359,-192.673332,53.693575,210.981109,6
3.851042,208.00891,-9.018096,-191.149127,50.229473,206.962751,5
13.216067,215.259274,-9.369875,-192.101755,46.765372,214.341287,7
4.021822,301.673021,-9.886546,-283.675281,140.296115,300.874546,5
15.979208,423.462174,-9.014285,-406.148594,83.138439,422.481833,6
10.090582,413.598144,-10.053169,-395.600404,87.468566,412.453259,5
10.524634,348.736306,-8.666489,-329.591948,53.693575,347.39743,5
4.250626,125.597932,-13.173805,-108.097291,15.588457,124.655697,6
5.893476,166.893488,-9.885507,-146.635421,51.961524,165.705301,8
19.721477,182.454232,-11.091707,-164.804634,36.373067,181.761412,5
4.762793,151.386437,-10.583177,-128.050516,53.693575,150.6711,7
4.557372,120.173149,-10.407547,-97.601063,34.641016,118.97457,7
11.561266,182.454232,-9.881523,-165.636019,36.373067,181.70945,5
4.68156,198.082527,-10.058192,-177.760374,58.889727,196.657049,6
12.634618,284.511862,-10.574863,-266.008363,81.406388,283.675281,5
16.448594,359.135539,-10.917809,-341.283291,72.746134,358.257389,6
23.239792,264.421804,-10.56984,-247.406137,90.066642,263.548851,6
25.300413,350.497801,-10.050744,-332.241986,119.511506,349.579814,6
23.222298,269.602368,-10.570013,-252.61961,93.530744,268.745003,5
23.239792,264.421804,-10.56984,-247.406137,90.066642,263.548851,6
21.871298,271.367328,-10.743218,-254.368982,95.262794,270.529016,6
15.459766,421.717999,-8.840907,-404.485825,112.583302,420.819064,5
5.230793,236.191108,-10.23642,-213.042249,81.406388,235.437666,7
5.403825,236.189376,-10.236593,-213.024929,83.138439,235.420346,7
5.216244,256.967058,-11.272879,-235.662833,88.334591,256.135673,7
23.706406,416.270699,-10.570879,-399.029865,107.38715,415.467027,6
20.707707,144.622778,-15.249668,-125.746889,6.928203,144.037345,4
25.751265,333.298537,-11.089455,-316.02999,90.066642,332.432511,5
23.100362,284.558627,-8.66545,-267.099555,95.262794,283.796525,5
25.751265,333.298537,-11.089455,-316.02999,90.066642,332.432511,5
27.223335,189.436129,-10.916423,-172.252453,58.889727,188.741577,6
18.907413,281.240018,-10.572092,-263.600812,110.851252,280.436346,5
30.915375,296.856188,-10.567242,-279.397116,103.923048,295.764996,6
4.456047,324.46681,-10.231744,-305.014147,64.08588,323.339245,5
35.004747,442.559766,-10.738715,-425.357037,77.942286,441.569033,5
18.250273,260.481389,-9.878232,-243.162613,50.229473,259.513172,5
7.848615,248.169972,-8.67515,-227.348989,43.30127,247.336855,6
5.353942,147.977761,-10.40772,-126.058658,27.712813,147.189678,6
25.596593,340.417266,-10.915038,-322.681065,98.726896,339.447317,5
11.662591,150.837377,-8.49848,-132.138156,36.373067,149.874356,5
14.125221,227.537783,-11.093439,-209.508866,53.693575,226.846694,5
10.868965,253.464851,-10.227414,-236.494217,24.248711,252.740854,6
5.304925,274.63744,-9.365545,-256.066391,69.282032,273.854553,6
14.244386,218.693931,-11.095517,-199.324407,50.229473,217.909312,5
15.442619,352.226388,-9.533554,-333.870114,83.138439,351.225263,7
7.538578,311.083253,-8.846623,-290.170472,81.406388,310.019774,7
7.365373,319.746971,-8.846623,-298.830726,79.674337,318.680028,6
15.442619,352.226388,-9.533554,-333.870114,83.138439,351.225263,7
25.111099,418.182883,-9.529917,-400.848518,102.190998,417.129796,5
29.56299,326.153827,-9.702602,-308.807338,79.674337,325.20986,5
16.135959,352.046255,-10.05265,-335.290395,95.262794,351.086699,5
29.458547,310.636384,-9.876327,-292.439458,76.210236,309.604082,5
4.489476,210.317733,-12.484622,-190.387025,62.353829,209.612789,6
21.074728,269.706292,-10.56984,-252.636931,84.87049,268.866247,5
5.68511,137.557743,-12.310898,-115.493148,31.176915,136.606847,6
6.118816,134.034752,-9.192513,-114.956212,34.641016,133.212028,5
21.074728,269.706292,-10.56984,-252.636931,84.87049,268.866247,5
4.489476,186.089807,-11.965007,-165.68798,65.817931,185.086949,6
5.87529,151.445326,-12.311244,-130.354144,32.908965,150.445933,6
4.261711,198.163933,-9.196324,-177.898938,64.08588,197.419151,6
4.610373,291.5284,-7.981637,-272.849964,91.798693,290.811331,6
10.972715,168.351874,-9.361561,-151.796933,25.980762,167.627877,4
9.342682,201.53104,-10.229492,-183.978437,39.837169,200.77933,6
16.235205,264.00438,-11.962582,-242.798882,79.674337,263.375646,7
20.19017,234.718865,-11.437078,-215.934774,100.458947,233.878821,6
9.342682,201.53104,-10.229492,-183.978437,39.837169,200.77933,6
4.506623,168.802208,-10.752745,-149.216177,71.014083,167.939646,5
15.409363,132.413552,-12.476655,-113.380046,20.78461,130.873759,6
26.704586,343.787837,-11.088762,-326.803346,83.138439,342.94606,6
4.728152,215.252346,-8.851126,-192.569409,65.817931,214.462531,7
4.207844,206.245682,-7.292973,-184.584655,74.478185,205.611751,8
27.813272,276.46129,-9.356538,-258.941596,46.765372,275.673207,5
25.022938,355.763236,-9.877886,-337.749907,110.851252,354.810608,5
24.8674,307.284866,-10.397155,-288.75019,124.707658,306.347826,5
17.593133,342.093891,-12.821679,-323.564411,67.549981,340.988842,6
19.616861,191.415863,-15.249322,-172.702786,8.660254,190.854678,5
3.741576,173.910025,-11.448509,-152.784202,6.928203,173.17044,4
10.343461,225.977205,-9.194072,-204.676444,53.693575,225.33981,7
15.402608,262.301774,-10.231744,-241.326639,86.60254,261.764839,6
11.363985,113.473577,-10.754303,-90.049321,32.908965,112.687226,4
24.590272,295.061783,-8.491899,-277.49186,98.726896,294.292753,5
11.803926,305.480069,-9.361735,-287.72828,71.014083,304.217404,6
11.786779,300.264864,-9.361561,-282.393564,72.746134,299.038572,6
4.059234,317.316904,-10.576595,-300.285649,105.655099,316.480324,5
40.531721,290.028444,-10.044163,-273.317617,83.138439,289.07928,5
26.669945,393.954956,-10.222737,-375.543256,110.851252,392.863764,6
23.308208,392.487909,-10.051091,-374.244218,110.851252,391.322239,5
23.308554,399.416112,-10.050744,-381.172421,114.315353,398.250442,5
18.715502,288.299857,-9.880657,-269.31658,84.87049,287.174024,6
9.391872,206.578236,-8.500213,-186.195462,72.746134,205.646392,5
8.90378,189.458646,-10.062176,-165.809224,45.033321,188.412487,8
40.531721,290.028444,-10.044163,-273.317617,83.138439,289.07928,5
16.199525,213.74373,-10.058365,-192.656011,48.497423,213.024929,6
11.144361,217.190511,-9.70953,-199.151202,58.889727,216.367787,5
8.71949,314.609709,-9.36312,-297.029393,129.903811,313.553158,5
8.71949,318.068614,-9.36312,-300.545456,129.903811,317.069221,5
15.650984,371.164632,-10.05265,-354.429557,93.530744,370.260501,5
15.650984,371.164632,-10.05265,-354.429557,93.530744,370.260501,5
30.065631,340.017162,-10.048666,-322.50786,95.262794,339.066266,5
24.834144,353.840659,-10.568974,-337.247613,90.066642,352.905352,5
25.144701,409.404849,-10.223776,-391.270277,91.798693,408.452221,5
26.387621,232.742595,-10.054728,-210.392212,67.549981,231.765719,6
6.308822,198.151809,-8.327007,-178.920848,62.353829,197.193984,4
22.685016,265.942545,-9.357924,-249.016945,77.942286,265.125017,5
6.034119,133.939489,-10.056633,-114.419276,25.980762,132.588489,5
3.815708,295.068711,-8.845583,-276.660475,39.837169,293.651894,6
18.955564,118.267893,-7.977826,-99.004024,20.78461,117.62357,5
4.800898,192.981637,-10.060098,-171.836761,60.621778,191.893909,7
11.404515,211.900828,-9.882389,-193.868447,53.693575,211.171634,6
18.075855,263.763625,-8.320599,-246.332266,95.262794,263.029236,5
