@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N6-R43-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
-17.588976,-228.630707,-225.68622,51.286024,8.228973,-208.98925,6
-27.807903,-168.008928,-174.313593,83.207721,15.32865,-123.73771,6
-27.807903,-168.008928,-174.313593,83.207721,15.32865,-123.73771,6
-27.106768,-235.55891,-242.175344,79.068119,17.935386,-188.551051,6
-20.681726,-193.98969,-190.958602,79.016158,10.856494,-150.636459,7
-16.893038,-171.47303,-167.766441,79.708978,7.541349,-124.742299,6
-22.585596,-129.903811,-126.214542,83.606092,13.459767,-83.813939,8
-19.816913,-296.180688,-292.681945,61.505124,8.603096,-273.42154,6
-27.796817,-230.362757,-237.775935,86.273451,18.110323,-176.911669,5
-22.585596,-129.903811,-126.214542,83.606092,13.459767,-83.813939,8
-22.424515,-176.669182,-176.201529,62.977367,12.924563,-148.696562,7
-17.422699,-252.879418,-248.635893,89.547027,7.011342,-197.626997,6
-20.361296,-228.630707,-225.01072,61.972778,9.098463,-205.646392,6
-23.109715,-197.453792,-195.548536,97.185371,12.240403,-139.845782,7
-17.924301,-81.406388,-77.301428,43.716962,5.123406,-77.05894,6
-16.54299,-202.649944,-199.324407,100.129857,7.369876,-132.397964,6
-41.911819,-310.037095,-330.094243,65.644726,33.438973,-275.79445,5
-25.041298,-258.07557,-261.8168,71.949391,15.326918,-220.022414,5
-19.853459,-239.023011,-235.680153,97.427858,9.261276,-179.353861,6
-44.352798,-258.07557,-283.605999,105.274048,33.243251,-186.541872,5
-28.186702,-277.128129,-284.523986,77.336069,17.547407,-234.88341,6
-17.262658,-266.735824,-263.548851,84.645323,7.17069,-215.12071,6
-18.125738,-289.252485,-286.204075,95.349397,6.827744,-230.241514,7
-22.982582,-356.802466,-358.759684,136.71077,13.747287,-252.307841,4
-22.987952,-358.534517,-360.526376,134.99604,13.742091,-255.823904,5
-24.027009,-259.807621,-262.648184,83.84858,13.567154,-209.907237,5
-21.425988,-299.64479,-296.613701,85.996323,10.458123,-252.082675,6
-19.358439,-214.7743,-210.894506,97.462499,9.4085,-152.36851,7
-18.972711,-187.061487,-183.06045,97.220012,9.448337,-124.257325,6
-15.855193,-228.630707,-224.906797,93.045769,5.287951,-168.286056,6
-19.655659,-330.821704,-327.652051,80.765529,9.285524,-286.515845,6
-35.588102,-368.926822,-384.18619,92.682039,24.693848,-311.370774,6
-35.24862,-254.611469,-270.373131,112.115649,26.417239,-172.235132,6
-23.990463,-135.099963,-137.680719,72.399724,14.126606,-97.583742,6
-17.572348,-192.25764,-188.51641,105.932227,6.34277,-122.421351,6
-21.818471,-213.042249,-216.281184,78.219414,11.445392,-167.194864,6
-35.24862,-254.611469,-270.373131,112.115649,26.417239,-172.235132,6
-18.435949,-261.539672,-258.214134,59.980919,7.906812,-238.867127,5
-23.990463,-135.099963,-137.680719,72.399724,14.126606,-97.583742,6
-18.611406,-211.310199,-208.27911,83.623413,7.728411,-164.163776,6
-16.230355,-207.846097,-204.347354,76.400761,6.990557,-162.726173,5
-31.262997,-214.7743,-220.282222,79.275965,21.754558,-173.101158,7
-17.405379,-301.376841,-298.016662,168.580505,7.376804,-167.021659,5
-27.471019,-422.620397,-430.761036,109.049919,18.262744,-344.106534,6
-22.802795,-413.094118,-415.311143,115.181379,12.538316,-331.254717,5
-24.017656,-348.142212,-350.064789,80.644286,15.132928,-297.9647,5
-15.865412,-124.707658,-121.330159,45.795423,2.504545,-118.108545,6
-20.530691,-166.276878,-164.146455,81.389067,10.485836,-119.615429,8
-32.309329,-181.865335,-193.937729,65.4542,21.044417,-152.38583,5
-22.782011,-150.68842,-147.466806,87.659091,12.049877,-103.022382,7
-21.392213,-119.511506,-116.030084,66.978405,10.839174,-90.67286,7
-23.322237,-181.865335,-185.554603,63.860713,13.232868,-150.948228,5
-19.156655,-197.453792,-194.007011,88.074784,8.914866,-143.933422,6
-26.272439,-284.056332,-289.131241,110.885893,15.479338,-209.110494,5
-29.012544,-358.534517,-366.969605,101.428895,17.931922,-292.14501,6
-33.855531,-263.271723,-278.305924,117.398404,23.133271,-179.024771,6
-38.19657,-349.874263,-367.333335,147.691972,27.972621,-236.026564,6
-33.857436,-268.467875,-283.519397,120.862505,23.131539,-180.791463,5
-33.855531,-263.271723,-278.305924,117.398404,23.133271,-179.024771,6
-32.470064,-270.199926,-283.900448,122.7158,21.574425,-180.964668,6
-26.939106,-420.888346,-428.474729,138.39086,17.928458,-312.721773,5
-23.114218,-235.55891,-232.856911,114.904251,12.756554,-159.88561,7
-23.285864,-235.55891,-233.047436,116.567019,12.931491,-158.17088,7
-21.214851,-256.34352,-253.728123,120.775903,9.803408,-174.88517,7
-35.761826,-415.692194,-431.904189,135.34245,25.038526,-314.834875,6
-34.021635,-143.760217,-156.941124,41.499937,18.640331,-148.003742,4
-37.520551,-332.553755,-350.740289,118.316391,26.223249,-249.467278,5
-35.59884,-284.056332,-299.229098,121.624608,26.760185,-192.985101,5
-37.520551,-332.553755,-350.740289,118.316391,26.223249,-249.467278,5
-39.237186,-188.793538,-208.192507,87.087515,28.144094,-136.450963,6
-31.277027,-280.592231,-291.330946,138.927795,20.517874,-175.595311,5
-42.679464,-296.180688,-319.286246,131.358733,31.973658,-198.475702,6
-18.460717,-323.893501,-320.481361,93.4095,8.052304,-265.609991,5
-46.249221,-441.672956,-468.883474,105.395292,35.330372,-370.139258,5
-30.054892,-259.807621,-270.165285,77.422671,20.006919,-215.016787,5
