@relation german_credit-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N28-R44-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute class {good,bad}

@data
-8.660254,15680.255961,-58.889727,65.817931,60.621778,-15676.791859,-65.817931,-15680.255961,57.157677,-15626.562386,15685.452113,-62.353829,-15617.902132,-1.732051,67.549981,-60.621778,3.464102,57.157677,15685.452113,15685.452113,-8.660254,0,-64.08588,-64.08588,15617.902132,1.732051,15737.413638,72.746134,good
-10.392305,4913.828141,-86.60254,46.765372,91.798693,-4906.899938,-48.497423,-4903.435836,86.60254,-4868.79482,4912.09609,-46.765372,-4818.565347,-1.732051,46.765372,-41.569219,0,34.641016,4913.828141,4910.364039,-1.732051,-1.732051,-100.458947,-43.30127,4867.062769,-1.732051,4993.502478,100.458947,good
-3.464102,5298.34342,-110.851252,24.248711,107.38715,-5296.61137,-25.980762,-5294.879319,103.923048,-5284.487014,5303.539573,-25.980762,-5194.420372,-1.732051,25.980762,-24.248711,1.732051,20.78461,5301.807522,5296.61137,-12.124356,3.464102,-112.583302,-24.248711,5272.362658,0,5395.338266,117.779455,good
-1.732051,9069.018028,-38.105118,53.693575,51.961524,-9060.357774,-57.157677,-9062.089825,46.765372,-9018.788555,9069.018028,-50.229473,-9018.788555,-6.928203,58.889727,-57.157677,-5.196152,41.569219,9065.553927,9062.089825,-1.732051,1.732051,-58.889727,-45.033321,9015.324453,1.732051,9110.587248,57.157677,bad
-5.196152,2244.737847,-43.30127,24.248711,43.30127,-2239.541694,-24.248711,-2241.273745,39.837169,-2222.221186,2244.737847,-19.052559,-2199.704526,-5.196152,22.51666,-27.712813,1.732051,20.78461,2249.933999,2244.737847,-3.464102,1.732051,-53.693575,-13.856406,2220.489135,-1.732051,2282.842964,48.497423,bad
-1.732051,2712.391565,-34.641016,19.052559,39.837169,-2710.659514,-19.052559,-2708.927463,39.837169,-2698.535158,2717.587717,-17.320508,-2674.286447,-5.196152,22.51666,-20.78461,-1.732051,17.320508,2719.319768,2717.587717,-6.928203,1.732051,-39.837169,-24.248711,2689.874904,1.732051,2743.568479,46.765372,good
-8.660254,2078.460969,-93.530744,45.033321,109.119201,-2069.800715,-46.765372,-2071.532766,96.994845,-2036.89175,2076.728918,-48.497423,-1974.537921,0,43.30127,-45.033321,-1.732051,32.908965,2081.925071,2071.532766,-5.196152,-1.732051,-119.511506,-38.105118,2035.159699,0,2173.723763,119.511506,bad
-10.392305,2430.067283,-46.765372,29.444864,51.961524,-2424.871131,-29.444864,-2426.603181,46.765372,-2402.35447,2430.067283,-31.176915,-2379.83781,-1.732051,31.176915,-29.444864,0,25.980762,2436.995486,2428.335232,-8.660254,1.732051,-55.425626,-27.712813,2402.35447,-1.732051,2468.172401,62.353829,good
-1.732051,2220.489135,-48.497423,50.229473,58.889727,-2218.757084,-48.497423,-2215.292983,50.229473,-2178.919916,2223.953237,-41.569219,-2163.331459,1.732051,46.765372,-46.765372,1.732051,36.373067,2225.685288,2217.025034,-10.392305,0,-64.08588,-36.373067,2178.919916,3.464102,2265.522456,67.549981,bad
-6.928203,4207.151412,-83.138439,46.765372,95.262794,-4195.027056,-50.229473,-4191.562954,90.066642,-4160.38604,4201.955259,-46.765372,-4108.424516,-3.464102,50.229473,-45.033321,-3.464102,34.641016,4203.68731,4198.491158,-5.196152,-3.464102,-100.458947,-41.569219,4155.189887,3.464102,4283.361647,102.190998,good
-8.660254,21789.199159,-65.817931,50.229473,77.942286,-21782.270956,-46.765372,-21782.270956,67.549981,-21752.826092,21789.199159,-46.765372,-21709.524822,-10.392305,50.229473,-45.033321,-1.732051,27.712813,21792.663261,21790.93121,-1.732051,0,-84.87049,-36.373067,21749.361991,0,21858.481192,83.138439,bad
-3.464102,5942.666321,-48.497423,46.765372,51.961524,-5939.202219,-46.765372,-5934.006067,50.229473,-5904.561203,5942.666321,-43.30127,-5883.776593,-5.196152,41.569219,-43.30127,-1.732051,32.908965,5946.130422,5939.202219,-3.464102,0,-62.353829,-41.569219,5895.900949,0,5987.699642,62.353829,good
-6.928203,3699.660525,-72.746134,17.320508,86.60254,-3689.26822,-19.052559,-3687.536169,81.406388,-3682.340017,3696.196423,-19.052559,-3611.325934,-3.464102,17.320508,-17.320508,-3.464102,6.928203,3697.928474,3694.464373,-5.196152,0,-96.994845,-17.320508,3678.875915,1.732051,3770.674608,96.994845,good
-5.196152,4584.738488,-76.210236,13.856406,76.210236,-4577.810284,-17.320508,-4581.274386,72.746134,-4576.078234,4584.738488,-12.124356,-4505.06415,-1.732051,12.124356,-13.856406,1.732051,10.392305,4589.93464,4586.470538,-5.196152,-1.732051,-83.138439,-12.124356,4572.614132,1.732051,4652.288469,90.066642,good
-6.928203,3129.815809,-69.282032,19.052559,77.942286,-3119.423504,-24.248711,-3121.155555,74.478185,-3105.567098,3128.083758,-22.51666,-3048.409421,-3.464102,29.444864,-25.980762,0,17.320508,3129.815809,3126.351708,-6.928203,-6.928203,-86.60254,-20.78461,3103.835047,1.732051,3193.901689,84.87049,good
-1.732051,3587.077222,-43.30127,19.052559,45.033321,-3578.416968,-22.51666,-3576.684918,48.497423,-3571.488765,3588.809273,-13.856406,-3536.847749,-5.196152,19.052559,-17.320508,0,13.856406,3583.613121,3581.88107,-1.732051,0,-48.497423,-15.588457,3562.828511,1.732051,3626.914391,48.497423,good
-3.464102,2371.177556,-60.621778,10.392305,60.621778,-2371.177556,-10.392305,-2374.641657,57.157677,-2371.177556,2376.373708,-8.660254,-2320.948082,0,6.928203,-8.660254,1.732051,10.392305,2379.83781,2388.498064,-1.732051,-1.732051,-69.282032,-13.856406,2371.177556,3.464102,2436.995486,74.478185,good
-6.928203,741.317746,-60.621778,17.320508,67.549981,-734.389542,-17.320508,-730.925441,62.353829,-730.925441,739.585695,-15.588457,-672.035713,-5.196152,19.052559,-15.588457,-3.464102,-1.732051,737.853644,734.389542,-13.856406,3.464102,-72.746134,-8.660254,727.461339,1.732051,796.743371,81.406388,good
-1.732051,717.069034,-71.014083,25.980762,76.210236,-706.676729,-29.444864,-701.480577,69.282032,-687.624171,711.872882,-25.980762,-633.930596,-5.196152,27.712813,-29.444864,1.732051,19.052559,711.872882,710.140831,-8.660254,3.464102,-79.674337,-19.052559,687.624171,6.928203,769.030559,83.138439,good
-3.464102,4188.098853,-53.693575,10.392305,57.157677,-4177.706548,-15.588457,-4177.706548,53.693575,-4174.242446,4184.634751,-6.928203,-4124.012973,-1.732051,12.124356,-13.856406,3.464102,8.660254,4186.366802,4188.098853,-3.464102,0,-65.817931,-13.856406,4172.510395,3.464102,4234.864225,71.014083,good
-3.464102,3316.877296,-60.621778,31.176915,60.621778,-3309.949093,-32.908965,-3309.949093,58.889727,-3292.628585,3316.877296,-27.712813,-3252.791417,-10.392305,32.908965,-38.105118,0,29.444864,3315.145246,3322.073449,-6.928203,-1.732051,-74.478185,-36.373067,3280.50423,3.464102,3370.570872,67.549981,good
-8.660254,6962.844246,-43.30127,41.569219,45.033321,-6954.183992,-46.765372,-6959.380145,41.569219,-6919.542976,6962.844246,-39.837169,-6914.346824,1.732051,39.837169,-41.569219,3.464102,38.105118,6966.308348,6964.576297,-3.464102,0,-55.425626,-43.30127,6919.542976,1.732051,7002.681415,58.889727,good
-3.464102,10156.745936,-45.033321,27.712813,53.693575,-10155.013885,-29.444864,-10153.281834,50.229473,-10129.033123,10163.674139,-27.712813,-10104.784411,0,31.176915,-29.444864,-1.732051,29.444864,10165.40619,10158.477986,-3.464102,-1.732051,-60.621778,-31.176915,10125.569021,1.732051,10205.243358,60.621778,good
-8.660254,2194.508373,-93.530744,31.176915,102.190998,-2180.651967,-31.176915,-2185.848119,93.530744,-2170.259662,2191.044272,-29.444864,-2090.585325,-3.464102,25.980762,-27.712813,1.732051,15.588457,2192.776322,2187.58017,-6.928203,-3.464102,-109.119201,-15.588457,2166.79556,1.732051,2284.575015,109.119201,good
-1.732051,2556.506992,-50.229473,29.444864,55.425626,-2551.31084,-27.712813,-2547.846738,50.229473,-2532.258281,2551.31084,-17.320508,-2501.081366,-8.660254,25.980762,-27.712813,-1.732051,13.856406,2553.04289,2563.435195,1.732051,-1.732051,-67.549981,-15.588457,2537.454433,1.732051,2606.736465,60.621778,good
-1.732051,8225.509285,-34.641016,79.674337,45.033321,-8213.384929,-83.138439,-8216.849031,38.105118,-8145.834948,8222.045184,-74.478185,-8180.475964,-1.732051,81.406388,-83.138439,0,71.014083,8222.045184,8225.509285,-5.196152,-3.464102,-55.425626,-72.746134,8142.370846,3.464102,8258.41825,53.693575,bad
-8.660254,10582.830434,-48.497423,84.87049,53.693575,-10572.438129,-83.138439,-10581.098383,51.961524,-10504.888148,10577.634282,-84.87049,-10525.672758,-3.464102,84.87049,-81.406388,-1.732051,76.210236,10582.830434,10586.294536,-1.732051,-1.732051,-57.157677,-88.334591,10499.691995,3.464102,10633.059908,62.353829,good
